p,n,total_time,comp_time,comm_time,overhead,cost
16,6,0.1374,0.0018,0.1306,0.0050,936
16,6,0.1500,0.0021,0.1420,0.0059,1118
16,6,0.1398,0.0017,0.1229,0.0152,997
16,6,0.1336,0.0013,0.1309,0.0014,695
16,6,0.1308,0.0015,0.1282,0.0011,755
16,6,0.1394,0.0017,0.1236,0.0141,1433
16,6,0.1474,0.0015,0.1409,0.0050,805
16,6,0.1330,0.0013,0.1211,0.0105,1044
16,6,0.1446,0.0017,0.1238,0.0190,1154
16,6,0.1311,0.0012,0.1181,0.0117,879
16,6,0.1430,0.0017,0.1200,0.0213,1310
16,6,0.1357,0.0015,0.1222,0.0120,793
16,6,0.1495,0.0020,0.1318,0.0157,1555
16,6,0.1512,0.0020,0.1432,0.0060,1204
16,6,0.1395,0.0012,0.1230,0.0153,869
16,6,0.1321,0.0011,0.1179,0.0130,1080
16,6,0.1325,0.0013,0.1111,0.0201,830
16,6,0.1386,0.0013,0.1358,0.0014,670
16,6,0.1372,0.0011,0.1169,0.0191,754
18,6,0.1756,0.0015,0.1505,0.0236,1480
18,6,0.1714,0.0015,0.1641,0.0058,1165
18,6,0.1696,0.0013,0.1672,0.0011,1110
18,6,0.1675,0.0013,0.1514,0.0148,1066
18,6,0.1729,0.0012,0.1541,0.0176,828
18,6,0.1872,0.0021,0.1670,0.0180,1658
18,6,0.1739,0.0010,0.1502,0.0227,841
18,6,0.1783,0.0019,0.1704,0.0060,1700
18,6,0.1885,0.0021,0.1804,0.0060,1317
18,6,0.1708,0.0014,0.1514,0.0180,975
18,6,0.1747,0.0012,0.1504,0.0231,885
18,6,0.1790,0.0014,0.1620,0.0156,796
18,6,0.1770,0.0014,0.1513,0.0243,757
18,6,0.1691,0.0014,0.1443,0.0235,1356
18,6,0.1712,0.0014,0.1638,0.0060,1144
18,6,0.1690,0.0015,0.1476,0.0199,1065
18,6,0.1910,0.0021,0.1827,0.0062,1234
18,6,0.1768,0.0015,0.1513,0.0240,1100
18,6,0.1748,0.0013,0.1505,0.0230,919
18,6,0.1716,0.0013,0.1508,0.0194,1058
18,6,0.1845,0.0015,0.1635,0.0196,798
18,6,0.1745,0.0016,0.1507,0.0222,951
18,6,0.1774,0.0016,0.1604,0.0154,1121
18,6,0.1819,0.0016,0.1791,0.0012,1244
18,6,0.1774,0.0015,0.1612,0.0147,844
18,6,0.1704,0.0011,0.1459,0.0235,724
18,6,0.1702,0.0013,0.1677,0.0012,898
18,6,0.1753,0.0013,0.1496,0.0244,704
18,6,0.1803,0.0017,0.1589,0.0197,1218
18,6,0.1768,0.0018,0.1690,0.0061,1225
20,6,0.2207,0.0017,0.2081,0.0108,1227
20,6,0.2153,0.0015,0.2038,0.0100,1049
20,6,0.2090,0.0016,0.1918,0.0156,1047
20,6,0.2194,0.0017,0.2124,0.0053,1111
20,6,0.2189,0.0018,0.2072,0.0099,1755
20,6,0.2128,0.0016,0.1817,0.0295,1284
20,6,0.2141,0.0016,0.2064,0.0060,1032
20,6,0.2190,0.0014,0.1893,0.0283,1186
20,6,0.2066,0.0014,0.2040,0.0012,896
20,6,0.2153,0.0014,0.2079,0.0060,987
20,6,0.2278,0.0021,0.2154,0.0103,1314
20,6,0.2255,0.0019,0.1989,0.0247,1111
20,6,0.2125,0.0015,0.1855,0.0255,885
20,6,0.2128,0.0015,0.2100,0.0013,994
20,6,0.2159,0.0016,0.1823,0.0321,975
20,6,0.2254,0.0019,0.2005,0.0229,1211
20,6,0.2097,0.0013,0.1930,0.0154,1062
20,6,0.2098,0.0017,0.2021,0.0059,1258
20,6,0.2120,0.0015,0.1864,0.0241,1231
20,6,0.2257,0.0019,0.2177,0.0061,825
20,6,0.2092,0.0014,0.2018,0.0060,960
20,6,0.2178,0.0011,0.2007,0.0160,664
20,6,0.2112,0.0015,0.1940,0.0157,818
20,6,0.2130,0.0011,0.2067,0.0052,741
20,6,0.2154,0.0017,0.2077,0.0060,1410
20,6,0.2148,0.0017,0.1976,0.0154,1489
20,6,0.2121,0.0015,0.2005,0.0101,1115
20,6,0.2116,0.0015,0.1993,0.0108,987
20,6,0.2154,0.0014,0.1849,0.0291,678
20,6,0.2075,0.0015,0.2008,0.0052,795
22,6,0.2592,0.0016,0.2288,0.0288,1042
22,6,0.2515,0.0017,0.2484,0.0014,915
22,6,0.2544,0.0016,0.2250,0.0278,1186
22,6,0.2606,0.0016,0.2280,0.0310,1137
22,6,0.2556,0.0015,0.2527,0.0014,1283
22,6,0.2502,0.0016,0.2233,0.0254,1107
22,6,0.2702,0.0021,0.2369,0.0312,1162
22,6,0.2578,0.0016,0.2359,0.0203,880
22,6,0.2568,0.0015,0.2354,0.0199,799
22,6,0.2545,0.0015,0.2324,0.0206,889
22,6,0.2557,0.0014,0.2529,0.0014,996
